327	6.36	49.68	  D	    COALINGA_H-Z02000.AT1	    COALINGA_H-Z02090.AT2
329	6.36	44.83	  D	    COALINGA_H-Z04090.AT2	    COALINGA_H-Z04090.AT2
331	6.36	41.16	  C	    COALINGA_H-Z07000.AT1	    COALINGA_H-Z07090.AT2
334	6.36	46.58	  D	    COALINGA_H-PG1000.AT1	    COALINGA_H-PG1090.AT2
471	6.32	68.18	  D	       SMART1_40C00EW.AT1	       SMART1_40C00NS.AT2
472	6.32	65.48	  D	       SMART1_40E01EW.AT1	       SMART1_40E01NS.AT2
473	6.32	68.38	  D	       SMART1_40I01EW.AT1	       SMART1_40I01NS.AT2
474	6.32	67.98	  D	       SMART1_40I07EW.AT1	       SMART1_40I07NS.AT2
475	6.32	69.14	  D	       SMART1_40M01EW.AT1	       SMART1_40M01NS.AT2
476	6.32	67.16	  D	       SMART1_40M07EW.AT1	       SMART1_40M07NS.AT2
477	6.32	70.27	  D	       SMART1_40O01EW.AT1	       SMART1_40O01NS.AT2
478	6.32	66.21	  D	       SMART1_40O07EW.AT1	       SMART1_40O07NS.AT2
494	6.06	6.28	  D	       PALMSPR_MVH045.AT1	       PALMSPR_MVH135.AT2
534	5.80	9.54	  D	       SANSALV_NGI180.AT1	       SANSALV_NGI270.AT2
535	7.30	76.21	  D	       SMART1_45C00EW.AT1	       SMART1_45C00NS.AT2
536	7.30	73.43	  D	       SMART1_45E01EW.AT1	       SMART1_45E01NS.AT2
538	7.30	76.39	  D	       SMART1_45I01NS.AT2	       SMART1_45I01NS.AT2
539	7.30	76.01	  D	       SMART1_45I07EW.AT1	       SMART1_45I07NS.AT2
540	7.30	77.12	  D	       SMART1_45M01EW.AT1	       SMART1_45M01NS.AT2
544	7.30	75.67	  D	       SMART1_45O04NS.AT2	       SMART1_45O04NS.AT2
546	7.30	74.27	  D	       SMART1_45O07EW.AT1	       SMART1_45O07NS.AT2
547	7.30	74.75	  D	       SMART1_45O08EW.AT1	       SMART1_45O08NS.AT2
548	7.30	76.85	  D	       SMART1_45O10EW.AT1	       SMART1_45O10NS.AT2
549	7.30	78.17	  D	       SMART1_45O12EW.AT1	       SMART1_45O12NS.AT2
681	6.54	35.83	  D	     SUPERST_B-ICC090.AT2	     SUPERST_B-ICC090.AT2
